text kotor,likeCount,Teks_Bersih,Yes,No,Compound,Sentiment
"@diankrtn Mangkanya biar gak goblok itu rajin baca , dasar kadrun batangan goblok malah dipupuk.

news.republika.co.id/berita/ruugm04?",0,mangkanya biar gak goblok itu rajin baca dasar kadrun batangan goblok malah dipupuk news republika co id berita ruugm,0.0,0.0,0.0,Yes
"@AnakLolina2 @Kanjeng2022 Itulah akibatnya jika berteman dengan kadrun,... jadi nasdrun. Khas kadrun, Jika temannya, maka salah pun dibela.",0,itulah akibatnya jika berteman dengan kadrun jadi nasdrun khas kadrun jika temannya maka salah pun dibela,0.0,0.0,0.0,Yes
Penyusupan berhasil? https://t.co/hpB93R0S83,0,penyusupan berhasil,0.0,0.0,0.0,Yes
"@dennyindrayana Nafsumu mengalahkan akal sehatmu den, mendadak kadrun ?????????? https://t.co/Q4AfhC2EWK",0,nafsumu mengalahkan akal sehatmu den mendadak kadrun,0.0,0.0,0.0,Yes
"@OposisiCerdas yg cegal siapa...???
fitnah nya gk habis2...!!!",0,yg cegal siapa fitnah nya gk habis,0.0,0.0,0.0,Yes
Katanya tanpa apbn? https://t.co/2NT9zhPkBg,0,katanya tanpa apbn,0.0,0.0,0.0,Yes
"@dimaspram96 @Obay_Kusut1981 @IsminovZubeir Isu itu bagai bau kentut.. suapa yg kentut siapa yg di tuduh, eh ternyata yg nuduh yg kentut..",0,kusut isu itu bagai bau kentut suapa yg kentut siapa yg di tuduh eh ternyata yg nuduh yg kentut,0.0,0.0,0.0,Yes
Rata rata bani kadrun... https://t.co/L7UD0UBksL,1,rata rata bani kadrun,0.0,0.0,0.0,Yes
"@BosPurwa alhamdulillah ada cina kapir rasa kadrun, ta'bil drun ?? https://t.co/Ahmfu68IhW",0,alhamdulillah ada cina kapir rasa kadrun ta bil drun,0.0,0.0,0.0,Yes
@Trending_Issue Mantap. Maki2 aja tuh kadrun pekok,0,issue mantap maki aja tuh kadrun pekok,0.0,0.0,0.0,Yes
@AIM393284865068 @Relawananies Apa hukum penistaan agama sudah berkeadilan? Bahkan setelah Ahok selesai menjalankan hukuman nya si Buni Yani Keparat baru mengakui meng edit Vidio nya. Itulah Kadrun kumpulan bangsat.,0,apa hukum penistaan agama sudah berkeadilan bahkan setelah ahok selesai menjalankan hukuman nya si buni yani keparat baru mengakui meng edit vidio nya itulah kadrun kumpulan bangsat,0.0,0.0,0.0,Yes
"@AndiSinulingga @erickthohir Korupsi kok diserang ?Lah semua penegak hukum sdh bergerak kok,dan ini bukan korupsi Sendiri.Paham?8 Triliun Bro,ini pasti seluruh tim dr capres Kadrun ada yg turut serta menjalankan siasat Korupsi ini.Mana ada sih PILGUB saja",0,korupsi kok diserang lah semua penegak hukum sdh bergerak kok dan ini bukan korupsi sendiri paham triliun bro ini pasti seluruh tim dr capres kadrun ada yg turut serta menjalankan siasat korupsi ini mana ada sih pilgub saja pinjem duit ini mau nyapres twitter com syarman stat,0.0,0.0,0.0,Yes
@idtodayco kadrun makin mata gelap... mengarang bebas... dipikir rakyat belon cerdas,0,kadrun makin mata gelap mengarang bebas dipikir rakyat belon cerdas,0.0,0.0,0.0,Yes
@budimandjatmiko Kadrun pekok kang hoax,0,kadrun pekok kang hoax,0.412,0.0,-0.2732,Yes
@Dennysiregar7 Ahlak ahlak kadrun munafik,0,ahlak ahlak kadrun munafik,0.0,0.0,0.0,Yes
@74f4rKM50 @OposisiCerdas Kalau ga keburu ada polisi pasti diperkosa Kadrun nih !,0,kalau ga keburu ada polisi pasti diperkosa kadrun nih,0.0,0.0,0.0,Yes
@Bambangmulyonoo @ReflyHZ COKRO  TV    IDOLA  PENGASONG  KADRUN,0,cokro tv idola pengasong kadrun,0.0,0.0,0.0,Yes
@WidadiHandoyo @aniesbaswedan @PKSejahtera kadrun senangnya ya mimpi (doang),0,kadrun senangnya ya mimpi doang,0.0,0.0,0.0,Yes
"@aniesbaswedan @PKSejahtera kalo @nasdem dan @PDemokrat mikir bisa curi suara pembenci jokowi, fpi, hti, kadrun dari @PKSejahtera... alangkah naifnya",0,kalo dan mikir bisa curi suara pembenci jokowi fpi hti kadrun dari alangkah naifnya,0.0,0.0,0.0,Yes
"@HRMalik12 @logikapolitikid @ridwankamil @aniesbaswedan Bukannya RK bagian dari kadrun masih ingat waktu kejadian kebakaran di_Bandung tempo hari
RK bilang dinegri Wakanda",0,bukannya rk bagian dari kadrun masih ingat waktu kejadian kebakaran di bandung tempo hari rk bilang dinegri wakanda,0.0,0.0,0.0,Yes
"@bachrum_achmadi wkwkwk kadrun tolol, emg JK hrs jadi acuan? JK cuma jadi acuan kadrun2 goblok aja",0,achmadi wkwkwk kadrun tolol emg jk hrs jadi acuan jk cuma jadi acuan kadrun goblok aja,0.0,0.0,0.4215,Yes
@sarah_enjeuLL @NasDem @KejaksaanRI @aniesbaswedan Metro Tipu sejak gabung dgn kadrun auto jadi tv tkg fitnah,0,enjeull metro tipu sejak gabung dgn kadrun auto jadi tv tkg fitnah,0.0,0.0,0.0,Yes
@ThejavaRio @AbuabuMerpati @belaIndonesiaID @msaid_didu @ReflyHZ Ciri kadrun begini umpatannya sprti orang ga ada akhlak??????,0,didu ciri kadrun begini umpatannya sprti orang ga ada akhlak,0.0,0.0,0.0,Yes
"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya namanya juga kadrun, klo gak fitnah gak makan",0,tv nakula lasan ogi madin chotimah yantie sauya namanya juga kadrun klo gak fitnah gak makan,0.0,0.0,0.0,Yes
"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkw kadrun menghibur diri sendir, barusan habis dihina2 dan ketauan pengecutnya sama bang @Amran_bin_Ali https://t.co/yWnJK63sAd",0,bin ali wkwkwkw kadrun menghibur diri sendir barusan habis dihina dan ketauan pengecutnya sama bang bin ali,0.0,0.0,0.0,Yes
"Nasehat untuk Kadrun
youtube.com/shorts/wC4sKCF?",0,nasehat untuk kadrun youtube com shorts wcskcf,0.0,0.0,0.0,Yes
@msaid_didu @ReflyHZ Yg ikut pool  akun dr bngsa kadrun lgi ??????,0,didu yg ikut pool akun dr bngsa kadrun lgi,0.0,0.0,0.0,Yes
"@DS_yantie Ini contoh tipikal kadrun mau mencubitvtp ga mau dicubit,cemenk.",0,yantie ini contoh tipikal kadrun mau mencubitvtp ga mau dicubit cemenk,0.0,0.0,0.0,Yes
"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV alhamdulillah toket kadrun nempel , toket barokah drun, halalan toyiban ?? https://t.co/HYfTtCSPDr",0,bin ali alhamdulillah toket kadrun nempel toket barokah drun halalan toyiban,0.0,0.0,0.0,Yes
"@BBerizik Bani kadal pea, bisanya ngurusi org sendirinya maniac jg,  dasar kadrun tolol",0,bani kadal pea bisanya ngurusi org sendirinya maniac jg dasar kadrun tolol,0.22,0.0,-0.4767,Yes
@corokandangrusa @yunartowijaya Kadrun emang top..?? apa pun yg di lakukan presiden tetap salah di mata dia.. https://t.co/2o04a8NFnF,0,kadrun emang top apa pun yg di lakukan presiden tetap salah di mata dia,0.0,0.0,0.2023,Yes
@P3n99u94t Boleh numpang b ol?,0,boleh numpang b ol,0.0,0.0,0.0,Yes
@entit_usdiati halooooo taraaaaaaa @ridwankamil,0,usdiati halooooo taraaaaaaa,0.0,0.0,0.0,Yes
@OposisiCerdas Si anus yaman ya om wo,0,si anus yaman ya om wo,0.0,0.0,0.0,Yes
@geloraco Jangan nyindir imam cabul si junjungan KADRUN212 goblog212pekok chat mesum,0,jangan nyindir imam cabul si junjungan kadrun goblogpekok chat mesum,0.0,0.0,0.0,Yes
"@YanHarahap Dasar Kader Mangkrak !

Nanya'nya ke Mantan Napi Korupsi anas Urbaningrum 'jangan Nanya ke KadRun !

Jokowi dilantik 2014
Hutang SBY 2700 Trilyun
dengan bunga pertahun 250 Trilyun !

Proyek Hambalang Sengaja ngga di terusin !
Biar pada inga in",0,dasar kader mangkrak nanya nya ke mantan napi korupsi anas urbaningrum jangan nanya ke kadrun jokowi dilantik hutang sby trilyun dengan bunga pertahun trilyun proyek hambalang sengaja ngga di terusin biar pada inga inga ting,0.0,0.0,0.0,Yes
@masiswara @YudhistiraSaja @ch_chotimah2 @ganjarpranowo Kok ganjar ikut2 kadrun ya,0,chotimah kok ganjar ikut kadrun ya,0.0,0.0,0.0,Yes
"@Leonita_Lestari Anies kena hukum karma ahok,dan NASDRUN kena getahnya semua akan melihat dan merasakan pada waktunya",0,lestari anies kena hukum karma ahok dan nasdrun kena getahnya semua akan melihat dan merasakan pada waktunya,0.0,0.0,0.0,Yes
@Leonita_Lestari Berawal dari @NasDem menjadi nasdrun212 itulah jalan menuju jurang kehancuran,0,lestari berawal dari menjadi nasdrun itulah jalan menuju jurang kehancuran,0.0,0.0,0.0,Yes
"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya Haha baru Tau ya, begitulah rasanya saat dulu metro TV mendukung rezim.. kejamnya nyer",0,tv nakula lasan ogi madin chotimah yantie sauya haha baru tau ya begitulah rasanya saat dulu metro tv mendukung rezim kejamnya nyerang kadrun ehh sekarang balik arah rasaiinn hahaha,0.0,0.0,0.765,Yes
@Leonita_Lestari Resto trasi bau busuk wok ewok,0,lestari resto trasi bau busuk wok ewok,0.0,0.0,0.0,Yes
@sarah_enjeuLL @NasDem @KejaksaanRI @aniesbaswedan Kadrun dua2nya ya...?,0,enjeull kadrun duanya ya,0.0,0.0,0.0,Yes
@KAMEK_AWET @Miduk17 Dia korupsi apa ya Klo anda tau..,0,awet dia korupsi apa ya klo anda tau,0.0,0.0,0.0,Yes
"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV takut dia nunjukin mukanya, takut bonyok dia kaya ratu hoax kadrun yg ini ?? https://t.co/3DY2RwWX6R",0,bin ali takut dia nunjukin mukanya takut bonyok dia kaya ratu hoax kadrun yg ini,0.13,0.0,-0.2732,Yes
@herman_basti @Hasbil_Lbs Khas Kadrun..kalah pukulin...klo perlu bunuh n telanjangin...,0,basti lbs khas kadrun kalah pukulin klo perlu bunuh n telanjangin,0.0,0.0,0.0,Yes
@langitan99 @Verraagustian_ Sampah sampah,1,sampah sampah,0.0,0.0,0.0,Yes
@Obay_Kusut1981 Ke firza jg bs yg pernah berpasangan dgn si jijik ngacengan,0,kusut ke firza jg bs yg pernah berpasangan dgn si jijik ngacengan,0.0,0.0,0.0,Yes
@Obay_Kusut1981 Ke RIJIQ KITY OM,0,kusut ke rijiq kity om,0.0,0.0,0.0,Yes
@Rintart_bluhers @aniesbaswedan @PKSejahtera Berarti udh ngakuin donk... Klo PKS nnti bakal kalah.. Awokawokawok...,0,bluhers berarti udh ngakuin donk klo pks nnti bakal kalah awokawokawok,0.0,0.0,0.0,Yes
@EndarTo44857464 @aniesbaswedan @PKSejahtera Dan juga merubah sistem jdi khilafuck... Itu agenda utama mereka...,0,dan juga merubah sistem jdi khilafuck itu agenda utama mereka,0.0,0.0,0.0,Yes
@tukangaduayam @kangdede78 Kadrun lgsg ndlesep liat arak arakan tiem Garuda,0,kadrun lgsg ndlesep liat arak arakan tiem garuda,0.0,0.0,0.0,Yes
@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkkw kadrun memantau ??,1,bin ali wkwkwkkw kadrun memantau,0.0,0.0,0.0,Yes
@RKianSantang99 @aniesbaswedan @PKSejahtera Jolam jolim taik babi...,0,jolam jolim taik babi,0.0,0.0,0.0,Yes
@PuteriDL @RKianSantang99 @aniesbaswedan @PKSejahtera Take a beer..... Awokawokawok... https://t.co/eSyc2JNnyE,0,take a beer awokawokawok,0.0,0.0,0.0,Yes
