id,text kotor,Sentiment
0,"@diankrtn Mangkanya biar gak goblok itu rajin baca , dasar kadrun batangan goblok malah dipupuk.

news.republika.co.id/berita/ruugm04?",Yes
1,"@AnakLolina2 @Kanjeng2022 Itulah akibatnya jika berteman dengan kadrun,... jadi nasdrun. Khas kadrun, Jika temannya, maka salah pun dibela.",Yes
2,Penyusupan berhasil? https://t.co/hpB93R0S83,Yes
3,"@dennyindrayana Nafsumu mengalahkan akal sehatmu den, mendadak kadrun ?????????? https://t.co/Q4AfhC2EWK",Yes
4,"@OposisiCerdas yg cegal siapa...???
fitnah nya gk habis2...!!!",Yes
5,Katanya tanpa apbn? https://t.co/2NT9zhPkBg,Yes
6,"@dimaspram96 @Obay_Kusut1981 @IsminovZubeir Isu itu bagai bau kentut.. suapa yg kentut siapa yg di tuduh, eh ternyata yg nuduh yg kentut..",Yes
7,Rata rata bani kadrun... https://t.co/L7UD0UBksL,Yes
8,"@BosPurwa alhamdulillah ada cina kapir rasa kadrun, ta'bil drun ?? https://t.co/Ahmfu68IhW",Yes
9,@Trending_Issue Mantap. Maki2 aja tuh kadrun pekok,Yes
10,@AIM393284865068 @Relawananies Apa hukum penistaan agama sudah berkeadilan? Bahkan setelah Ahok selesai menjalankan hukuman nya si Buni Yani Keparat baru mengakui meng edit Vidio nya. Itulah Kadrun kumpulan bangsat.,Yes
11,"@AndiSinulingga @erickthohir Korupsi kok diserang ?Lah semua penegak hukum sdh bergerak kok,dan ini bukan korupsi Sendiri.Paham?8 Triliun Bro,ini pasti seluruh tim dr capres Kadrun ada yg turut serta menjalankan siasat Korupsi ini.Mana ada sih PILGUB saja",Yes
12,@idtodayco kadrun makin mata gelap... mengarang bebas... dipikir rakyat belon cerdas,Yes
13,@budimandjatmiko Kadrun pekok kang hoax,Yes
14,@Dennysiregar7 Ahlak ahlak kadrun munafik,Yes
15,@74f4rKM50 @OposisiCerdas Kalau ga keburu ada polisi pasti diperkosa Kadrun nih !,Yes
16,@Bambangmulyonoo @ReflyHZ COKRO  TV    IDOLA  PENGASONG  KADRUN,Yes
17,@WidadiHandoyo @aniesbaswedan @PKSejahtera kadrun senangnya ya mimpi (doang),Yes
18,"@aniesbaswedan @PKSejahtera kalo @nasdem dan @PDemokrat mikir bisa curi suara pembenci jokowi, fpi, hti, kadrun dari @PKSejahtera... alangkah naifnya",Yes
19,"@HRMalik12 @logikapolitikid @ridwankamil @aniesbaswedan Bukannya RK bagian dari kadrun masih ingat waktu kejadian kebakaran di_Bandung tempo hari
RK bilang dinegri Wakanda",Yes
20,"@bachrum_achmadi wkwkwk kadrun tolol, emg JK hrs jadi acuan? JK cuma jadi acuan kadrun2 goblok aja",Yes
21,@sarah_enjeuLL @NasDem @KejaksaanRI @aniesbaswedan Metro Tipu sejak gabung dgn kadrun auto jadi tv tkg fitnah,Yes
22,@ThejavaRio @AbuabuMerpati @belaIndonesiaID @msaid_didu @ReflyHZ Ciri kadrun begini umpatannya sprti orang ga ada akhlak??????,Yes
23,"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya namanya juga kadrun, klo gak fitnah gak makan",Yes
24,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkw kadrun menghibur diri sendir, barusan habis dihina2 dan ketauan pengecutnya sama bang @Amran_bin_Ali https://t.co/yWnJK63sAd",Yes
25,"Nasehat untuk Kadrun
youtube.com/shorts/wC4sKCF?",Yes
26,@msaid_didu @ReflyHZ Yg ikut pool  akun dr bngsa kadrun lgi ??????,Yes
27,"@DS_yantie Ini contoh tipikal kadrun mau mencubitvtp ga mau dicubit,cemenk.",Yes
28,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV alhamdulillah toket kadrun nempel , toket barokah drun, halalan toyiban ?? https://t.co/HYfTtCSPDr",Yes
29,"@BBerizik Bani kadal pea, bisanya ngurusi org sendirinya maniac jg,  dasar kadrun tolol",Yes
30,@corokandangrusa @yunartowijaya Kadrun emang top..?? apa pun yg di lakukan presiden tetap salah di mata dia.. https://t.co/2o04a8NFnF,Yes
31,@P3n99u94t Boleh numpang b ol?,Yes
32,@entit_usdiati halooooo taraaaaaaa @ridwankamil,Yes
33,@OposisiCerdas Si anus yaman ya om wo,Yes
34,@geloraco Jangan nyindir imam cabul si junjungan KADRUN212 goblog212pekok chat mesum,Yes
