text kotor,likeCount,Yes,No,Compound,label
@detikcom Vincent &gt; Desta,0,0.0,0.512,0.2732,No
Vincent&gt;Desta,0,0.0,0.512,0.2732,No
"Hai berhubung gw fans berat vincent desta dan semua yang udah terjadi gw masih syok parah, gw akan mute kata2 yg ada desta ya",0,0.0,0.0,0.0,No
"Tiket 200k dapet kaos,totebag,bunga mawar fresh,photocard,oil serum,eskopi (abis diminum pas acara) gak cuma nonton dikta aja,tp ada vincent,desta,dudy,eros.
Puas banget,ga nyesel lah ngeluarin 200rb buat me time.
Terima kasih ya Allah aku senang,tuman nonton konser dewekan. https://t.co/szvbRdmEbq",1,0.0,0.049,0.3182,No
"@EIGHT1NY iya si betul tp ak ngeliatnya emang pure bercandaan laki doang, aku liatnya dia family man banget sesayang itu dia sama anak2 nya, kalo ampe beneran slingkuh ak siap nonton pergelutan vincent desta, krna vincent uda segitu terima kasih nya sama caca karna nyelametin desta TAU DEH",0,0.0,0.0,0.0,No
@gomezners bio lo vindes tuh vincent destaâ¦. gua kira artis barat fak,0,0.0,0.0,0.0,No
Kok ada yaa orang ngefans sama Vincent desta,1,0.0,0.0,0.0,No
"definisi konser dikasih banyak bonus, nonton Masta bonus Vincent Desta sama Eross ð¥²ð¥²ð¥¹ https://t.co/qRx6mCFl3G",2,0.0,0.412,0.7906,No
"Akhirnya bisa nonton Vincent Desta, di bonus Eross Chandra dan Dikta. https://t.co/R3yIAiZ8rz",1,0.0,0.259,0.5423,No
@AlvChrist Bodohnya gua ngira vincent desta itu orang yg sama,0,0.0,0.0,0.0,No
"@mediocrickey @vincentrcrd Lu ga pernah nonton yutub ya, bang? Kok ga tau Vincent? Vincent mah sahabat Desta, acaranya aja sampe dinamain Vindes (Vincent Desta) ga mungkin kan Vindes (Vincent Deni siregar)?",0,0.0,0.0,0.0,No
"@bacodpublic @mediocrickey Soalnya gofar sendiri. Kalo desta ada tameng yg sgt kuat yaitu Vincent. Percaya deh kalo ga ada Vincent, Desta bukan siapa-siapa.",0,0.0,0.0,0.0,No
Peaknya Vincent-Desta itu ya Tonight Show studio lama :),0,0.0,0.0,0.0,No
"@mediocrickey bonsernews.com/showbiz/479882â¦ 

Aku mah mendoakan yg terbaik aja buat mereka dan mengenang momen-momen ini aja. Sebagai fans Tonight Show saya berterima kasih Vincent Desta udh bikin senyum. Caca jg makasih udh bikin hidup Desta lumayan terarah. :((",0,0.0,0.0,0.0,No
"Re-Tweet KERAS !!!
Tags :
BREAKING NEWS Pak Hary Tanoe Soedibjo FULL BOOKED Johnny G Plate Kemenkeu Natasha Rizki Vincent Desta Biaya Admin Botuna Desta Putri KW Caca JenKai
#SudirmanCup2023",0,0.0,0.0,0.0,No
Tag chris martin vincent desta natasha rizki caca botuna garuda muda hah beneran dapet breaking news fast x morgan cat 4 cat 5 biaya admin PA 212 32 tahun dino pink hair my my brand power jin coldplay argentina indonesia,0,0.0,0.0,0.0,No
"mimpi semobil sama Vincent Desta, trus Desta nyeritain alesan kenapa gugat cerai caca wkwkw",1,0.0,0.0,0.0,No
"Berkat Ganjar, Penghargaan Pembangunan Daerah (PPD) kembali diraih Provinsi Jawa Tengah di tahun ini.

#Vincent #Desta #Botuna #Cat8 https://t.co/FxmxFbHJan",5,0.0,0.0,0.0,No
