id,label,teks
0,1.0,vincent gt desta
1,1.0,vincent gt desta
2,1.0,hai berhubung gw fans berat vincent desta dan semua yang udah terjadi gw masih syok parah gw akan mute kata yg ada desta ya
3,1.0,tiket k dapet kaos totebag bunga mawar fresh photocard oil serum eskopi abis diminum pas acara gak cuma nonton dikta aja tp ada vincent desta dudy eros puas banget ga nyesel lah ngeluarin rb buat me time terima kasih ya allah aku senang tuman nonton konser dewekan
4,1.0,iya si betul tp ak ngeliatnya emang pure bercandaan laki doang aku liatnya dia family man banget sesayang itu dia sama anak nya kalo ampe beneran slingkuh ak siap nonton pergelutan vincent desta krna vincent uda segitu terima kasih nya sama caca karna nyelametin desta tau deh
5,1.0,bio lo vindes tuh vincent desta gua kira artis barat fak
6,1.0,kok ada yaa orang ngefans sama vincent desta
7,1.0,definisi konser dikasih banyak bonus nonton masta bonus vincent desta sama eross
8,1.0,akhirnya bisa nonton vincent desta di bonus eross chandra dan dikta
9,1.0,bodohnya gua ngira vincent desta itu orang yg sama
10,1.0,lu ga pernah nonton yutub ya bang kok ga tau vincent vincent mah sahabat desta acaranya aja sampe dinamain vindes vincent desta ga mungkin kan vindes vincent deni siregar
11,1.0,soalnya gofar sendiri kalo desta ada tameng yg sgt kuat yaitu vincent percaya deh kalo ga ada vincent desta bukan siapa siapa
12,1.0,peaknya vincent desta itu ya tonight show studio lama
13,1.0,bonsernews com showbiz aku mah mendoakan yg terbaik aja buat mereka dan mengenang momen momen ini aja sebagai fans tonight show saya berterima kasih vincent desta udh bikin senyum caca jg makasih udh bikin hidup desta lumayan terarah
14,1.0,re tweet keras tags breaking news pak hary tanoe soedibjo full booked johnny g plate kemenkeu natasha rizki vincent desta biaya admin botuna desta putri kw caca jenkai sudirmancup
15,1.0,tag chris martin vincent desta natasha rizki caca botuna garuda muda hah beneran dapet breaking news fast x morgan cat cat biaya admin pa tahun dino pink hair my my brand power jin coldplay argentina indonesia
16,1.0,mimpi semobil sama vincent desta trus desta nyeritain alesan kenapa gugat cerai caca wkwkw
17,1.0,berkat ganjar penghargaan pembangunan daerah ppd kembali diraih provinsi jawa tengah di tahun ini vincent desta botuna cat
18,1.0,chris martin vincent desta natasha rizki botuna garuda muda hah beneran dapet breaking news fast x morgan cat cat caca biaya admin tahun dino pink hair my my brand power jin coldplay argentina indonesia
19,1.0,jennie taehyung dating taennie vincent desta natasha rizky botuna dapet caca morgan kaget komang chris martin biaya admin tahun cat fast x dino pink hair garuda muda breaking news argentina kaget coldplay indonesia
20,1.0,enzy udah punya pacar kalau lu penggemar tonight show pasti tahu kalau vincent desta sering mancing enzy buat spill pacarnya yang di amerika
21,1.0,vincent desta cerai natasha rizki atau natasha rizki cerai desta botuna bocah tua nakal
22,1.0,terimakasih kejaksaan telah menyelamatkan uang rakyat dari pencurian johnny g plate pa fast x natasha rizki morgan rizky ridho vincent desta
23,1.0,komitmen pemerintah berantas korupsi tidak ada tooleransi pa fast x natasha rizki morgan rizky ridho vincent desta
24,1.0,fakta dan bukti berbicara tidak ada kriminalisasi dalam kasus johnny g plate pa fast x natasha rizki morgan rizky ridho vincent desta
25,1.0,padahal lagi sering seringnya nonton vincent desta
26,1.0,semua kekeselan ini bermula dari bercanda spontan uhuy malah disautin jokes vincent desta
27,1.0,duuuhhh ga sabar nonton aksi om tom cruise mission impossible vincent desta morgan
28,1.0,botuna tahun kaget biaya admin morgan natasha rizki dapet marselino fast x breaking news pa dino pink hair jongkok garuda muda cat real madrid cat zhang hai st look cat brand power jin vincent desta refresh jeketiselcaday manchester city
29,1.0,re tweet keras tags breaking news pak hary tanoe soedibjo full booked johnny g plate kemenkeu natasha rizki vincent desta biaya admin tabletrasalaptop seagames
30,1.0,pliss gue gabisa kalau udh maslaah nya tentang kluarga tonight show gini ni vincent desta hesti enzy
31,1.0,vincent desta bajingan
32,1.0,johnny g plate tertangkap akankah surya paloh menepati janjinya membubarkan nasdem pa fast x natasha rizki morgan rizky ridho vincent desta
33,1.0,youtu be sldeovmsqo vincent desta garuda muda fast x
34,1.0,youtu be uk ov f xdm pa fast x garuda muda vincent desta
35,1.0,genjot indeks persepsi korupsi pemerintah tancap gas bersih bersih kementerian lembaga akurat co genjot indeks pa fast x natasha rizki morgan rizky ridho vincent desta
36,1.0,vincent desta natasha rizki dapet botuna morgan cat kaget biaya admin fast x garuda muda pa breaking news cat cat hogwarts kemenkeu christ martin akane sehun jongkok twitter com dumdummentai s
37,1.0,genjot indeks persepsi korupsi pemerintah tancap gas bersih bersih kementerian kumparan com kumparannews g pa fast x natasha rizki morgan rizky ridho vincent desta
38,1.0,plate ditahan pemerintah genjot indeks persepsi korupsi dengan bersih bersih kementerian lembaga wartakota tribunnews com pla pa fast x natasha rizki morgan rizky ridho vincent desta
39,1.0,yg bucin mah vincent desta biasa aja sih
40,1.0,vincent desta amp natasha rizki trending di twitter tp nyampah komennya di ig mereka
